Time,VS_CS_Erlang_RNC,VS_CSLoad_Erlang_Equiv_RNC,VS_PSLoad_Thruput_RNC,VS_R99PSLoad_DLThruput_RNC,VS_R99PSLoad_ULThruput_RNC,VS_HSDPAPSLoad_DLThruput_RNC,VS_HSUPAPSLoad_ULThruput_RNC,VS_RB_AMR_DL_RNC_custom,VS_RB_CS_Conv_DL_64_RNC
2014-07-28 23:30:00,119.887,272.056,121427.817,6.925,387.950,106222.458,14805.992,211.661,0.000
2014-07-29 00:00:00,71.749,170.322,111805.439,13.211,284.286,98595.500,12907.928,130.333,0.011
2014-07-29 00:30:00,54.529,117.203,81465.547,13.753,226.892,72110.603,9109.711,90.361,0.003
2014-07-29 01:00:00,39.908,86.719,67705.486,7.297,169.081,58561.228,8963.283,67.397,0.000
2014-07-29 01:30:00,28.764,69.550,51767.639,37.394,129.203,44998.842,6597.858,52.764,0.000
2014-07-29 02:00:00,23.926,58.450,40471.369,27.639,107.389,35686.864,4645.917,47.058,0.000
2014-07-29 02:30:00,21.047,51.467,31478.253,2.828,78.750,27789.464,3603.750,39.617,0.000
2014-07-29 03:00:00,18.679,42.931,27006.258,40.225,101.578,23770.275,3090.458,33.950,0.000
2014-07-29 03:30:00,12.566,27.550,28655.272,42.600,75.469,25873.844,2659.617,21.667,0.325
2014-07-29 04:00:00,8.780,19.047,22521.225,18.792,48.131,20095.833,2355.008,14.919,0.564
2014-07-29 04:30:00,6.352,17.481,15208.761,6.175,53.350,13000.883,2144.767,12.308,0.567
2014-07-29 05:00:00,5.567,15.747,15910.397,1.281,72.164,13509.847,2323.453,11.133,0.597
2014-07-29 05:30:00,8.558,23.725,17703.092,0.908,50.439,15292.586,2355.503,17.522,0.125
2014-07-29 06:00:00,11.272,32.497,29071.428,5.989,104.000,25046.344,3910.664,24.553,0.000
2014-07-29 06:30:00,20.261,56.717,49761.925,7.897,127.156,43050.453,6571.856,42.611,0.019
2014-07-29 07:00:00,36.164,98.331,55769.233,19.769,250.603,47605.267,7889.039,74.694,0.022
2014-07-29 07:30:00,64.747,181.883,95759.547,38.256,447.317,83375.678,11893.619,136.997,0.003
2014-07-29 08:00:00,119.558,323.231,130021.847,77.608,916.833,110622.333,18400.169,249.872,0.172
2014-07-29 08:30:00,198.567,534.539,170517.353,110.886,1423.533,145418.803,23559.289,412.464,0.131
2014-07-29 09:00:00,315.847,837.946,181001.442,32.772,1851.050,152025.119,27087.606,653.586,0.000
2014-07-29 09:30:00,412.411,1081.281,195074.094,44.769,2667.114,163755.564,28601.694,843.522,0.025
2014-07-29 10:00:00,479.874,1249.653,211972.047,62.194,3115.183,178653.186,30136.483,979.261,0.047
2014-07-29 10:30:00,526.741,1348.297,223570.231,69.544,2993.311,187355.967,33146.400,1067.228,0.039
2014-07-29 11:00:00,531.540,1330.453,228849.842,79.994,3001.017,192710.267,33053.581,1052.136,0.033
2014-07-29 11:30:00,493.089,1236.436,226377.475,90.353,2574.106,192252.683,31455.344,971.431,0.044
2014-07-29 12:00:00,427.916,1092.372,242916.175,113.983,2592.614,207376.536,32828.081,850.925,0.047
2014-07-29 12:30:00,341.447,873.206,254474.003,201.917,2687.064,218810.750,32769.303,690.461,0.025
2014-07-29 13:00:00,316.777,789.286,245443.331,73.561,2526.908,210451.242,32386.644,625.736,0.000
2014-07-29 13:30:00,346.405,886.956,219922.344,36.667,2466.344,185766.642,31647.736,702.697,0.003
2014-07-29 14:00:00,425.251,1109.956,223128.300,58.883,2127.033,187248.553,33688.872,876.878,0.017
2014-07-29 14:30:00,481.803,1229.431,229482.356,154.531,2447.161,193082.086,33793.536,970.014,0.072
2014-07-29 15:00:00,523.375,1317.433,218073.278,40.994,2681.128,182272.139,33073.958,1041.956,0.083
2014-07-29 15:30:00,529.965,1353.489,220315.578,113.267,2571.692,186788.778,30836.858,1078.875,0.008
2014-07-29 16:00:00,550.496,1375.350,222882.275,62.194,2403.808,189363.861,31047.386,1093.458,0.042
2014-07-29 16:30:00,530.160,1360.097,201487.661,57.600,2331.103,168774.856,30319.100,1072.192,0.006
2014-07-29 17:00:00,546.679,1390.844,208510.736,108.267,2230.881,175486.194,30680.389,1089.450,0.019
2014-07-29 17:30:00,546.531,1385.564,208274.947,67.850,2519.589,176344.094,29338.411,1078.836,0.000
2014-07-29 18:00:00,482.913,1245.081,202642.983,105.328,2688.408,171967.178,27876.875,972.150,0.008
2014-07-29 18:30:00,402.330,1016.017,185507.189,64.217,2157.994,157119.253,26160.675,792.592,0.003
2014-07-29 19:00:00,338.886,880.636,176494.150,32.853,1388.000,151326.203,23742.144,682.267,0.186
2014-07-29 19:30:00,315.682,843.944,167410.914,29.539,1252.536,143622.978,22500.947,649.689,0.106
2014-07-29 20:00:00,322.834,845.708,154257.233,54.806,1140.031,130550.725,22506.783,656.839,0.067
2014-07-29 20:30:00,319.509,846.811,158429.683,47.883,1054.911,135376.808,21945.325,652.314,0.344
2014-07-29 21:00:00,310.506,814.956,147009.147,81.028,1261.133,123947.539,21714.658,629.116,0.000
2014-07-29 21:30:00,290.755,794.597,140213.811,75.014,1460.836,118212.664,20460.397,606.728,0.006
2014-07-29 22:00:00,272.220,724.694,131623.267,158.056,1233.358,111176.622,19050.478,549.425,0.003
2014-07-29 22:30:00,226.327,557.464,131871.097,113.675,1352.994,111928.628,18471.053,426.983,0.000
2014-07-29 23:00:00,167.634,403.442,133303.344,184.211,712.378,116160.056,16242.178,308.917,0.072
2014-07-29 23:30:00,121.760,286.439,124312.753,103.992,467.700,110064.831,13671.733,217.389,0.003
2014-07-30 00:00:00,82.787,193.406,108592.747,119.200,311.683,96024.156,12133.003,144.531,0.003
2014-07-30 00:30:00,59.726,111.983,87321.131,66.792,313.594,77533.614,9402.672,85.506,0.000
2014-07-30 01:00:00,34.514,93.094,68200.994,10.214,282.481,60478.478,7425.403,70.675,0.000
2014-07-30 01:30:00,33.231,77.553,57394.808,7.311,147.314,51030.456,6205.364,58.950,0.000
2014-07-30 02:00:00,24.598,53.403,44419.928,3.894,347.056,39055.678,5009.564,42.567,0.000
2014-07-30 02:30:00,21.148,44.804,34059.897,9.181,93.061,29825.589,4128.672,33.866,0.003
2014-07-30 03:00:00,14.085,34.675,28535.144,3.467,93.628,25335.861,3098.542,27.706,0.000
2014-07-30 03:30:00,12.010,29.256,22673.406,2.719,68.625,20085.161,2513.378,22.575,0.000
2014-07-30 04:00:00,8.895,26.831,24148.044,0.631,66.133,21584.906,2492.950,21.808,0.000
2014-07-30 04:30:00,6.437,19.600,15985.206,5.839,76.783,13860.933,2038.236,15.258,0.000
2014-07-30 05:00:00,9.640,16.061,13353.497,0.375,68.114,11079.528,2202.114,12.850,0.000
2014-07-30 05:30:00,10.085,24.250,19202.544,5.269,75.153,16371.742,2746.825,19.125,0.000
2014-07-30 06:00:00,11.774,31.144,33482.592,5.561,84.847,29128.339,4259.550,24.486,0.000
2014-07-30 06:30:00,20.155,60.431,48915.483,34.353,147.397,41493.458,7235.750,46.472,0.008
2014-07-30 07:00:00,40.900,110.586,68757.328,17.947,239.514,60399.489,8095.808,83.003,0.011
2014-07-30 07:30:00,68.336,189.850,93867.703,18.811,430.825,81722.525,11690.914,143.817,0.017
2014-07-30 08:00:00,115.586,314.565,129440.969,61.561,1016.911,110570.706,17786.997,238.596,0.008
2014-07-30 08:30:00,198.497,540.706,169707.661,70.514,1499.614,144678.308,23454.367,414.722,0.017
2014-07-30 09:00:00,306.684,822.564,185939.969,33.567,1679.467,157200.231,27021.672,634.528,0.042
2014-07-30 09:30:00,403.149,1067.792,186742.858,33.072,2269.825,156794.578,27640.456,831.364,0.081
2014-07-30 10:00:00,479.033,1242.852,204232.381,43.461,2467.353,171615.233,30101.442,973.090,0.011
2014-07-30 10:30:00,502.154,1291.794,217047.067,64.061,2641.236,182444.697,31892.067,1011.733,0.003
2014-07-30 11:00:00,526.445,1330.247,219307.558,35.386,2729.042,185066.736,31471.361,1047.202,0.033
2014-07-30 11:30:00,490.720,1240.975,214279.797,41.219,2457.294,180893.597,30882.747,972.403,0.058
2014-07-30 12:00:00,427.549,1089.969,216946.094,77.461,2569.236,182354.925,31939.458,854.333,0.061
2014-07-30 12:30:00,355.511,904.069,256127.414,93.619,2405.006,217452.186,36171.519,710.542,0.022
2014-07-30 13:00:00,306.653,772.408,239440.717,67.443,2190.211,201940.024,35238.079,609.306,0.011
2014-07-30 13:30:00,340.702,872.575,228653.931,15.608,2313.828,193925.475,32393.989,693.369,0.008
2014-07-30 14:00:00,419.220,1063.278,238030.339,45.736,2609.389,202373.686,32996.572,841.275,0.033
2014-07-30 14:30:00,466.931,1181.064,239877.178,26.939,2467.244,204427.697,32950.389,936.483,0.061
2014-07-30 15:00:00,488.300,1241.217,228586.661,67.328,2498.864,193483.831,32531.583,981.028,0.003
2014-07-30 15:30:00,505.491,1306.619,223385.536,48.539,2406.069,189093.861,31832.158,1029.650,0.036
2014-07-30 16:00:00,516.627,1336.417,233627.533,33.333,2497.969,197479.689,33611.536,1046.597,0.050
2014-07-30 16:30:00,541.713,1366.717,216431.439,41.664,2695.961,182378.242,31310.656,1068.447,0.019
2014-07-30 17:00:00,510.458,1314.903,197339.239,65.403,2867.000,165839.075,28562.953,1029.519,0.003
2014-07-30 17:30:00,537.101,1382.942,214747.739,64.817,2639.581,183099.725,28938.594,1079.083,0.011
2014-07-30 18:00:00,490.771,1275.686,205559.500,120.719,3214.572,173638.056,28581.183,986.097,0.014
2014-07-30 18:30:00,409.935,1029.075,174652.742,83.753,2331.267,148770.633,23462.161,799.489,0.094
2014-07-30 19:00:00,330.680,841.044,159773.781,23.631,1518.425,134669.314,23557.458,658.889,0.006
2014-07-30 19:30:00,303.049,789.856,154977.386,82.714,1371.383,130873.033,22645.403,613.053,0.000
2014-07-30 20:00:00,319.686,854.722,161592.458,61.389,1562.397,137329.589,22634.167,668.392,0.125
2014-07-30 20:30:00,321.537,865.647,153796.189,84.544,1343.853,130408.936,21954.072,660.069,0.367
