Time,VS_CS_Erlang_RNC,VS_CSLoad_Erlang_Equiv_RNC,VS_PSLoad_Thruput_RNC,VS_R99PSLoad_DLThruput_RNC,VS_R99PSLoad_ULThruput_RNC,VS_HSDPAPSLoad_DLThruput_RNC,VS_HSUPAPSLoad_ULThruput_RNC,VS_RB_AMR_DL_RNC_custom,VS_RB_CS_Conv_DL_64_RNC
2014-07-30 04:30:00,4.203,10.669,15350.186,0.589,32.597,13293.419,2020.061,7.608,0.000
2014-07-30 05:00:00,5.370,16.644,12614.400,0.883,61.164,10396.342,2152.508,11.789,0.000
2014-07-30 05:30:00,9.344,23.525,19808.575,3.964,74.436,16781.925,2944.736,17.964,0.000
2014-07-30 06:00:00,15.579,44.375,26473.553,31.989,109.875,22227.336,4099.769,35.058,0.000
2014-07-30 06:30:00,28.451,75.144,47778.953,40.914,201.658,41553.586,5978.008,57.161,0.000
2014-07-30 07:00:00,45.769,123.461,69337.581,69.436,370.017,59490.472,9402.942,91.177,0.003
2014-07-30 07:30:00,78.739,228.310,99797.947,99.208,881.456,85793.328,13019.044,169.176,0.028
2014-07-30 08:00:00,132.796,371.683,122633.142,77.928,1628.739,104797.450,16124.069,277.331,0.000
2014-07-30 08:30:00,200.380,543.022,127390.842,110.375,1812.981,107519.597,17942.836,409.939,0.006
2014-07-30 09:00:00,255.961,689.858,132110.075,109.483,1662.103,111981.422,18352.125,525.228,0.022
2014-07-30 09:30:00,299.888,795.394,137347.094,119.131,1744.119,116235.547,19243.272,610.711,0.008
2014-07-30 10:00:00,323.723,872.492,141832.733,124.303,2267.597,118821.419,20614.553,667.347,0.008
2014-07-30 10:30:00,325.322,851.203,157552.833,244.008,2235.014,133019.386,22049.542,647.986,0.044
2014-07-30 11:00:00,332.756,865.603,160437.308,211.575,2176.044,136828.856,21215.789,671.861,0.014
2014-07-30 11:30:00,314.019,783.675,144515.717,180.950,2020.186,121631.978,20677.614,605.086,0.011
2014-07-30 12:00:00,265.965,679.306,173082.350,334.053,3040.833,148452.567,21249.608,530.219,0.003
2014-07-30 12:30:00,227.306,584.764,186561.533,263.200,2786.156,161710.117,21797.006,457.661,0.006
2014-07-30 13:00:00,199.451,520.178,152957.664,29.847,1885.386,130809.683,20227.633,401.344,0.006
2014-07-30 13:30:00,219.039,560.139,145491.489,67.153,1840.239,123524.606,20054.497,428.989,0.003
2014-07-30 14:00:00,243.339,641.083,149735.942,109.397,1971.569,125954.756,21695.336,499.122,0.006
2014-07-30 14:30:00,277.914,721.286,130759.258,142.153,1800.208,109093.822,19718.003,555.825,0.314
2014-07-30 15:00:00,301.526,800.444,135100.425,88.758,1744.600,113351.056,19911.097,625.789,0.017
2014-07-30 15:30:00,325.779,837.344,140718.672,61.583,1599.100,119759.461,19293.439,652.678,0.006
2014-07-30 16:00:00,332.722,849.969,135777.911,140.931,1906.506,113075.933,20649.406,660.486,0.042
2014-07-30 16:30:00,325.762,855.919,143797.214,65.450,1957.053,120258.525,21511.200,665.144,0.014
2014-07-30 17:00:00,343.795,884.561,152116.106,104.864,2052.172,126881.439,23072.533,685.000,0.028
2014-07-30 17:30:00,359.092,936.575,147328.594,164.472,1938.422,122323.456,22897.136,723.239,0.008
2014-07-30 18:00:00,355.090,936.642,151745.094,170.597,2171.778,127463.925,21933.550,710.556,0.003
2014-07-30 18:30:00,315.138,825.937,136014.667,120.819,1896.914,112998.861,20993.039,621.090,0.022
2014-07-30 19:00:00,282.623,764.556,125453.081,62.997,1165.194,103249.364,20970.628,579.306,0.000
2014-07-30 19:30:00,274.951,735.764,120669.464,55.956,1101.456,100295.578,19211.622,555.097,0.000
2014-07-30 20:00:00,278.712,793.767,114061.050,48.472,1182.086,95375.739,17450.014,593.844,0.003
2014-07-30 20:30:00,293.067,814.967,117309.236,21.736,1062.475,98485.708,17734.483,610.503,0.003
2014-07-30 21:00:00,304.609,827.078,119378.139,49.378,1092.050,98890.306,19341.564,624.845,0.008
2014-07-30 21:30:00,275.632,754.611,116780.628,33.803,1226.044,99069.167,16446.889,562.122,0.003
2014-07-30 22:00:00,260.879,663.286,125114.008,41.611,1177.889,106660.139,17229.472,498.344,0.000
2014-07-30 22:30:00,183.082,473.769,120586.200,32.322,913.408,102714.847,16920.856,355.703,0.033
2014-07-30 23:00:00,148.762,311.311,125802.392,18.242,741.950,110405.664,14631.856,243.014,0.000
2014-07-30 23:30:00,89.541,200.872,113511.497,30.989,566.503,101090.942,11818.411,156.661,0.000
2014-07-31 00:00:00,62.631,132.236,91912.039,10.319,419.183,81732.856,9745.056,101.117,0.003
2014-07-31 00:30:00,29.976,82.269,82892.397,7.125,227.722,74798.556,7854.481,65.136,0.000
2014-07-31 01:00:00,34.418,65.525,78103.192,4.792,175.475,69102.300,8816.183,50.222,0.000
2014-07-31 01:30:00,18.986,34.578,72189.811,3.861,137.617,65939.694,6104.122,26.122,0.000
2014-07-31 02:00:00,10.248,24.361,54928.608,1.086,177.458,49943.544,4802.892,17.186,0.000
2014-07-31 02:30:00,7.006,20.106,48032.567,2.392,95.994,42767.372,5163.292,14.406,0.000
2014-07-31 03:00:00,7.075,14.006,28150.339,0.661,82.961,25032.364,3030.892,11.125,0.000
2014-07-31 03:30:00,5.749,10.869,23716.561,1.033,71.939,21349.264,2290.936,8.161,0.000
2014-07-31 04:00:00,2.692,7.850,19025.369,1.603,69.250,16845.572,2105.583,5.067,0.000
2014-07-31 04:30:00,3.155,8.978,17412.606,4.328,51.447,15404.961,1948.464,6.614,0.000
2014-07-31 05:00:00,5.517,17.397,18704.447,1.269,63.656,16594.644,2041.392,13.006,0.003
2014-07-31 05:30:00,8.250,25.325,21169.981,1.156,66.867,18557.572,2540.800,17.606,0.000
2014-07-31 06:00:00,14.691,41.992,33425.519,8.094,116.250,29320.761,3976.050,30.753,0.003
2014-07-31 06:30:00,25.623,73.964,52343.533,13.994,182.228,45915.567,6227.222,53.472,0.000
2014-07-31 07:00:00,48.078,134.475,85435.967,21.606,345.672,75115.522,9948.500,97.956,0.003
2014-07-31 07:30:00,79.927,224.450,118144.681,54.917,847.169,102888.150,14349.703,167.489,0.000
2014-07-31 08:00:00,127.317,347.192,131383.039,108.889,1770.164,112273.547,17225.386,264.239,0.003
2014-07-31 08:30:00,197.993,557.697,144597.028,125.992,2023.731,122955.339,19486.861,416.453,0.008
2014-07-31 09:00:00,269.242,724.836,145774.608,68.919,1702.797,122871.056,21126.925,548.606,0.022
2014-07-31 09:30:00,302.219,812.058,143182.733,121.686,1772.564,120341.850,20941.639,616.092,0.011
2014-07-31 10:00:00,332.597,900.519,153549.947,119.494,2045.503,130166.997,21212.936,689.047,0.011
2014-07-31 10:30:00,355.297,920.803,148440.886,148.911,1911.325,124774.283,21601.283,710.461,0.008
2014-07-31 11:00:00,360.331,927.428,156677.822,119.050,1899.775,132128.275,22525.686,714.653,0.006
2014-07-31 11:30:00,322.838,815.722,152019.692,145.383,1809.406,129177.817,20882.044,631.867,0.128
2014-07-31 12:00:00,285.163,729.964,168606.033,283.197,2808.017,143491.339,22018.206,565.594,0.003
2014-07-31 12:30:00,242.717,627.061,192402.228,250.206,3013.544,165119.322,24014.058,480.697,0.006
2014-07-31 13:00:00,208.697,539.728,152809.594,52.897,1864.242,129981.881,20905.678,413.117,0.003
2014-07-31 13:30:00,223.280,585.097,155929.611,91.511,1804.325,133645.358,20383.597,448.222,0.003
2014-07-31 14:00:00,257.322,687.189,144889.597,123.425,1910.128,122512.125,20338.858,526.733,0.092
2014-07-31 14:30:00,290.172,761.828,140502.494,143.453,2265.244,117674.697,20414.097,588.375,0.008
2014-07-31 15:00:00,325.488,871.042,135873.667,116.242,1937.408,113686.969,20128.142,661.419,0.000
2014-07-31 15:30:00,302.503,792.992,144486.889,114.397,1693.572,121547.956,21125.897,613.603,0.006
2014-07-31 16:00:00,323.732,834.681,151309.908,126.486,1875.217,128750.364,20552.850,646.981,0.014
2014-07-31 16:30:00,334.523,877.672,147558.356,122.303,1850.897,125775.081,19805.014,679.506,0.036
2014-07-31 17:00:00,350.548,908.992,149350.022,129.303,1886.028,126861.439,20468.347,693.736,0.033
2014-07-31 17:30:00,375.109,976.086,154452.267,320.617,2479.122,130663.394,20983.917,740.378,0.011
2014-07-31 18:00:00,355.564,960.528,167012.147,170.167,2834.419,142525.700,21476.622,723.786,0.006
2014-07-31 18:30:00,319.254,839.675,162478.658,131.861,2199.208,139276.578,20865.942,635.378,0.000
2014-07-31 19:00:00,289.848,788.269,149786.711,43.825,1377.758,129286.233,19073.783,596.197,0.000
2014-07-31 19:30:00,282.554,777.628,141229.728,60.014,1270.175,121595.522,18299.083,593.458,0.008
2014-07-31 20:00:00,312.240,823.258,149704.136,38.822,1001.597,130250.342,18408.569,624.036,0.272
2014-07-31 20:30:00,304.830,847.439,156116.872,34.256,1013.689,137140.031,17924.042,642.167,0.006
2014-07-31 21:00:00,307.027,845.069,135596.253,35.506,1024.883,117056.911,17474.169,639.494,0.003
2014-07-31 21:30:00,305.189,800.561,147860.400,46.992,1181.858,128460.803,18165.908,607.964,0.436
2014-07-31 22:00:00,254.345,721.833,164290.047,64.733,1255.344,144466.611,18498.525,536.933,0.486
2014-07-31 22:30:00,214.504,540.928,148723.911,93.903,1097.786,130484.492,17042.911,404.322,0.000
2014-07-31 23:00:00,168.341,396.053,168740.064,87.481,1068.881,150088.731,17490.214,296.064,0.000
2014-07-31 23:30:00,117.852,272.417,165638.631,19.189,823.544,150474.908,14316.239,194.469,0.000
2014-08-01 00:00:00,72.391,157.094,120485.006,9.756,597.369,107547.064,12326.067,113.433,0.000
2014-08-01 00:30:00,45.863,89.094,92016.983,5.989,493.750,83066.897,8445.828,66.786,0.000
2014-08-01 01:00:00,22.846,55.797,69860.611,15.414,196.444,63221.689,6422.356,42.794,0.006
2014-08-01 01:30:00,23.552,35.844,54120.614,3.797,115.900,48859.744,5136.581,27.578,0.000
2014-08-01 02:00:00,12.424,27.097,43550.883,1.781,79.592,39382.206,4083.572,20.233,0.000
2014-08-01 02:30:00,5.792,17.543,42172.469,0.586,52.528,38664.378,3451.450,13.166,0.000
2014-08-01 03:00:00,5.535,16.323,34489.697,0.500,46.883,31456.075,2982.794,11.786,0.000
2014-08-01 03:30:00,4.819,13.822,25420.650,0.525,38.031,22901.342,2477.417,9.703,0.000
2014-08-01 04:00:00,6.336,10.736,16983.433,1.464,26.442,14678.147,2273.833,7.706,0.000
2014-08-01 04:30:00,3.814,13.258,18156.919,0.892,32.858,14458.117,3661.597,8.567,0.000
2014-08-01 05:00:00,6.003,14.581,27324.036,1.014,49.286,22992.469,4277.758,10.839,0.000
2014-08-01 05:30:00,8.303,24.475,30669.125,31.939,67.739,26982.014,3583.725,18.592,0.003
2014-08-01 06:00:00,16.947,49.731,44462.733,23.531,151.522,39288.056,4995.086,37.250,0.000
2014-08-01 06:30:00,29.075,84.319,60846.139,16.411,314.758,53498.475,7011.731,63.383,0.000
2014-08-01 07:00:00,61.672,169.842,88412.249,35.966,485.566,77071.481,10814.464,122.197,0.000
2014-08-01 07:30:00,95.955,270.958,117441.958,57.700,1041.208,100985.469,15352.547,201.078,0.017
2014-08-01 08:00:00,139.192,372.836,148679.464,104.672,2137.586,127799.747,18632.353,282.564,0.000
2014-08-01 08:30:00,196.468,546.303,156906.161,186.331,2398.919,133422.564,20893.233,410.361,0.003
2014-08-01 09:00:00,266.326,721.361,158895.242,100.931,1947.639,135393.200,21448.506,546.258,0.006
2014-08-01 09:30:00,300.664,817.989,146555.342,141.814,2086.258,123763.689,20558.608,618.303,0.008
2014-08-01 10:00:00,322.426,855.078,156026.183,192.939,2400.100,129883.431,23544.922,649.114,0.006
2014-08-01 10:30:00,338.633,889.603,162620.703,228.519,2877.511,135817.586,23692.319,689.311,0.006
2014-08-01 11:00:00,334.539,864.281,156872.350,176.489,2566.750,131519.439,22604.758,659.231,0.064
2014-08-01 11:30:00,320.643,819.906,153742.036,215.897,2351.842,129810.017,21359.139,637.131,0.000
2014-08-01 12:00:00,291.864,739.508,173145.731,346.983,3476.989,146845.628,22470.878,575.897,0.000
2014-08-01 12:30:00,249.151,639.089,196590.106,619.706,3579.761,167746.275,24639.433,493.994,0.006
2014-08-01 13:00:00,222.952,577.178,174616.739,92.678,2694.642,147971.706,23852.919,441.011,0.042
2014-08-01 13:30:00,237.046,627.586,162452.917,90.328,2827.847,137610.400,21919.458,481.619,0.003
2014-08-01 14:00:00,272.770,723.517,164633.278,147.386,2470.567,140614.322,21396.189,557.472,0.000
2014-08-01 14:30:00,292.685,798.694,153181.011,119.433,2349.111,130488.047,20219.411,611.564,0.019
