V1, V2, V3, V4, V5, V6
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
99.8701298701299, 1.0752688172043, 0.455788514129444, 0, 0.465549348230912, 0.37593984962406
99.708284714119, 0, 0.565552699228792, 0, 0.46875, 0.576784426820476
99.8276852383688, 4.76190476190476, 0.33003300330033, 0, 0.22075055187638, 0.183823529411765
100, 0, 0, 0, 0, 0
100, 0, 4.16666666666667, 100, 0, 0
100, 0, 1.17647058823529, 0, 1.20481927710843, 1.33333333333333
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
99.8859749144812, 0, 0.38961038961039, 0, 0.389105058365759, 0.269541778975741
100, 0, 2.06185567010309, 0, 2.53164556962025, 2.53164556962025
99.341021416804, 0, 0.24330900243309, 0, 0.244299674267101, 0.257289879931389
100, 0, 0, 0, 0, 0
100, 0, 1.42857142857143, 0, 2.32558139534884, 2.85714285714286
100, 0, 0, 0, 0, 0
100, 2.08333333333333, 0, 0, 0, 0
99.7840172786177, 1.72413793103448, 1.23076923076923, 0, 1.32013201320132, 1.06382978723404
100, 0, 1.92307692307692, 0, 0, 0
100, 1.25, 0.398803589232303, 4.16666666666667, 0.307062436028659, 0.104493207941484
100, 0, 1.75438596491228, 0, 1.75438596491228, 2.17391304347826
100, 1.14942528735632, 0.384245917387128, 0, 0.294985250737463, 0.200400801603206
100, 0, 1.11111111111111, 0, 1.11111111111111, 1.25
100, 1.61290322580645, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 1.19047619047619, 0.608519269776876, 0, 0.613496932515337, 0.432900432900433
100, 0, 0, 0, 0, 0
99.8842592592593, 0, 0.355871886120996, 0, 0.35650623885918, 0.366300366300366
99.8225377107365, 0, 0.230769230769231, 0, 0.0773993808049536, 0.0917431192660551
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 10, 0, 11.1111111111111, 20
97.7272727272727, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 2.38095238095238, 1.78571428571429, 0, 1.85185185185185, 2.56410256410256
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0.202839756592292, 0, 0.206611570247934, 0
100, 0, 0, 0, 0, 0
100, 0, 4.16666666666667, 0, 7.14285714285714, 9.09090909090909
100, 2.77777777777778, 0, 0, 0, 0
100, 0, 0, 0, 0.132100396301189, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0.264900662251656, 0, 0.272479564032698, 0.280112044817927
100, 0, 0.236220472440945, 0, 0.157977883096367, 0.0791139240506329
100, 2.77777777777778, 0.100806451612903, 0, 0.101112234580384, 0
96, 5.26315789473684, 1.03092783505155, 0, 1.31578947368421, 0
100, 0, 0, 0, 0, 0
100, 0, 0.198019801980198, 0, 0.29585798816568, 0.29673590504451
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
99.2937853107345, 0, 0, 0, 0, 0
99.4397759103641, 0, 0.349040139616056, 0, 0.350877192982456, 0.359066427289048
94.8646773074254, 0, 0.215362526920316, 0, 0.216450216450216, 0.0903342366757001
90.7146876758582, 0, 0.313087038196619, 0, 0.314070351758794, 0.0871839581517001
100, 5.88235294117647, 0, 0, 0, 0
100, 0, 0.169779286926995, 0, 0.170068027210884, 0.176991150442478
100, 0, 0, 0, 0, 0
94.1176470588235, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0.754716981132076, 0, 0.87719298245614, 1.06951871657754
100, 0, 0, 0, 0, 0
100, 0, 2.17391304347826, 0, 2.22222222222222, 2.63157894736842
100, 0, 0, 0, 0, 0
99.4011976047904, 0, 0.769230769230769, 0, 0.775193798449612, 0.826446280991736
100, 1.16279069767442, 0.157728706624606, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
99.7867803837953, 0, 0.0913798355162961, 0, 0.0914076782449726, 0.109409190371991
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0
100, 0.719424460431655, 0.421052631578947, 0, 0.421940928270042, 0.220994475138122
