N, W, Date, Time, Tx0, Tx1, Tx2, Tx3, Tx4, Tx5, Tx6, Tx7, Tx8, Tx9, Tx10, Tx11, Tx12, Tx13, Tx14, Tx15, Tx16, Tx17, Tx18, Tx19, Tx20, Tx21, Tx22, Tx23, Tx24, Tx25, Tx26, Tx27, Tx28, Tx29, Tx30, Tx31, Tx32, Tx33, Tx34, Tx35, Tx36, Tx37, Tx38, Tx39, Tx40, Tx41, Tx42, Tx43, Tx44, Tx45, Tx46, Tx47, Tx48, Tx49, Tx50, Tx51, Tx52, Tx53, Tx54, Tx55, Tx56, Tx57, Tx58, Tx59, Tx60, Tx61, Tx62, Tx63, Tx64, Tx65, Tx66, Tx67, Tx68, Tx69, Tx70, Tx71, Tx72, Tx73, Tx74, Tx75, Tx76, Tx77, Tx78, Tx79, Tx80, Tx81, Tx82, Tx83, Tx84, Tx85, Tx86, Tx87, Tx88, Tx89, Tx90, Tx91, Tx92, Tx93, Tx94, Tx95, Tx96, Tx97, Tx98, Tx99
40.00760, 105.27155, 8/10/2011, 1:48 PM, -199.99, -4.50, -13.50, -14.50, -199.99, -199.99, -199.99, -199.99, -14.50, -6.80, -15.50, -199.99, -8.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -4.80, -199.99, -7.80, -12.50, -11.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -15.50, -7.80, -11.60, -11.60, -199.99, -9.80, -199.99, -13.50, -16.50, -8.80, -0.50, -1.50, -1.50, -0.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, 0.50, 0.50, 0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50
40.00771, 105.27137, 8/10/2011, 1:50 PM, -199.99, -199.99, -4.50, -4.50, -5.50, -5.50, -5.50, -5.50, -6.50, -7.50, -7.50, -8.50, -8.50, -7.50, -8.50, -9.50, -8.50, -9.50, -8.50, -9.50, -10.50, -10.50, -10.50, -10.50, -11.50, -11.50, -12.50, -13.50, -14.50, -13.50, -13.50, -13.50, -13.50, -11.50, -13.50, -12.50, -13.50, 0.00, 1.00, 2.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
40.00787, 105.27136, 8/10/2011, 1:52 PM, -199.99, -199.99, -199.99, -21.50, -21.50, -199.99, -199.99, -199.99, -21.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -21.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -23.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -23.50, -1.50, -1.50, -1.50, -1.50, -1.50, -2.50, -1.50, -2.50, -2.50, -0.50, -0.50, -0.50, -1.50, -1.50, -0.50, 0.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -2.50, -1.50, -1.50, -1.50, -1.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -0.50, -1.50, -0.50, 0.50, -1.50, -1.50, -1.50, -1.50, -1.50, -1.50, -2.50, -1.50, -1.50, -0.50, -1.50, -1.50, -0.50, -0.50, -0.50, -1.50, -1.50, -1.50, -1.50
40.00784, 105.27213, 8/10/2011, 1:55 PM, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -8.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -8.50, -199.99, -199.99, -199.99, -199.99, -8.50, -199.99, -199.99, -199.99, -199.99, -199.99, -8.50, -199.99, -199.99, -199.99, -199.99, -199.99, -8.50, -9.50, -8.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, 8.50, 9.50, 9.50, 9.50, 11.50, 9.50, 9.50, 9.50, 9.50, 9.50, 9.50, 8.50, 9.50, 9.50, 9.50, 9.50, 9.50, 9.50, 10.50, 10.50, 10.50, 10.50, 9.50, 9.50, 9.00, 9.50, 10.50, 8.40, 10.50, 9.50, 9.50, 9.50, 7.80, 10.50, 10.00, 10.50, 7.50, 10.50, 9.50, 10.50, 10.50, 8.50, 10.50, 11.50, 9.50, 8.20, 9.50, 9.50, 10.50, 10.50, 10.50, 10.50, 10.00, 11.50, 11.50, 10.50, 10.50
40.00784, 105.27308, 8/10/2011, 1:58 PM, -199.99, -199.99, -199.99, 17.00, -199.99, -199.99, -199.99, 17.00, 18.00, 18.00, -199.99, -199.99, -199.99, 18.00, -199.99, -199.99, -199.99, -199.99, -199.99, 18.00, -199.99, 18.00, 18.00, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, 19.00, -199.99, -199.99, 19.00, 4.00, 3.00, 3.50, 3.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.00, 2.50, 2.00, 2.00, 3.50, 3.00, 3.00, 4.00, 3.50, 4.00, 3.00, 3.00, 2.00, 2.00, 2.00, 1.00, 2.00, 2.00, 2.00, 3.00, 3.00, 3.50, 3.00, 3.50, 2.50, 2.00, 2.00, 2.00, 2.00, 2.00, 2.50, 1.00, 1.50, 1.00, 1.00, 1.00, 1.00
40.00783, 105.27401, 8/10/2011, 2:02 PM, -199.99, -13.50, -199.99, -13.80, -6.80, -12.50, -199.99, -26.50, -23.50, -21.50, -22.50, -18.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -12.50, -3.80, -16.50, -16.50, -23.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -19.50, -10.60, -14.50, -1.50, -1.50, -2.50, -2.50, -2.50, -3.50, -3.50, -3.50, -3.50, -3.50, -2.50, -2.50, -2.50, -2.50, -3.00, -2.50, -2.50, -2.50, -2.50, -2.50, -2.50, -2.50, -3.00, -3.00, -3.00, -3.00, -3.00, -3.00, -3.00, -2.50, -2.50, -2.00, -2.50, -3.50, -3.00, -3.50, -3.50, -3.50, -3.50, -3.50, -4.50, -2.50, -2.50, -2.50, -3.50, -2.50, -2.50, -2.50, -2.50, -2.00, -2.50, -2.50, -2.50, -2.50, -2.50, -2.50, -2.50
40.00785, 105.27402, 8/10/2011, 2:04 PM, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -16.80, -16.80, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -17.80, -15.50, -15.50, -10.00, -199.99, -199.99, -28.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -15.50, -19.50, -199.99, -21.50, -10.80, -199.99, -22.50, -199.99, -26.50, -25.50, -199.99, -8.00, -8.50, -8.50, -8.50, -8.50, -7.50, -7.50, -7.50, -7.50, -7.50, -7.50, -7.50, -7.50, -8.50, -8.50, -8.50, -10.20, -8.00, -8.50, -8.50, -8.50, -8.50, -8.50, -8.50, -7.50, -8.50, -8.50, -8.50, -7.50, -7.50, -7.50, -7.50, -8.50, -7.50, -7.50, -7.50, -7.50, -7.50, -7.50, -8.50, -7.50, -8.50, -7.50, -6.50, -6.00, -5.50, -5.50, -5.50, -5.50, -5.50, -5.50, -6.50, -7.50, -7.50, -6.50, -7.50, -7.50
40.00788, 105.27407, 8/10/2011, 2:08 PM, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -24.50, -24.50, -24.50, -199.99, -24.50, -21.50, -21.50, -21.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -20.50, -20.50, -20.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -11.50, -11.50, -9.50, -9.50, -9.50, -9.50, -10.50, -10.50, -10.50, -11.50, -14.20, -10.50, -12.50, -11.50, -11.50, -11.50, -10.50, -11.50, -10.50, -9.50, -10.50, -9.50, -10.50, -11.50, -12.80, -11.50, -13.20, -11.50, -11.50, -11.50, -11.50, -11.50, -11.50, -10.50, -10.50, -10.50, -9.50, -9.50, -9.50, -12.50, -10.50, -10.80, -9.50, -9.50, -9.50, -9.50, -10.50, -14.80, -10.50, -10.50, -10.50, -10.50, -14.20, -11.50, -15.00, -13.60
40.00789, 105.27408, 8/10/2011, 2:11 PM, -199.99, -199.99, -199.99, -199.99, -199.99, -17.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -25.50, -199.99, -199.99, -23.50, -199.99, -199.99, -199.99, -22.50, -22.50, -199.99, -22.80, -199.99, -199.99, -22.50, -17.50, -22.60, -22.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -12.50, -12.50, -12.50, -12.50, -13.80, -14.70, -12.50, -13.50, -12.50, -12.50, -13.20, -16.00, -12.50, -12.50, -12.00, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -12.50, -12.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -14.50, -13.50, -13.50, -12.50, -12.50, -12.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50, -13.50
40.00779, 105.27489, 8/10/2011, 2:14 PM, -24.50, -199.99, -199.99, -199.99, -199.99, -21.50, -21.50, -199.99, -199.99, -199.99, -26.50, -199.99, -26.50, -199.99, -199.99, -199.99, -199.99, -199.99, -23.50, -26.50, -15.00, -199.99, -23.50, -199.99, -199.99, -22.50, -199.99, -25.50, -22.50, -199.99, -199.99, -199.99, -199.99, -25.50, -24.50, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -199.99, -9.50, -9.50, -11.70, -9.50, -9.50, -9.50, -10.50, -10.50, -9.50, -10.50, -8.50, -8.50, -8.50, -8.50, -8.50, -8.50, -8.50, -8.50, -9.50, -8.50, -8.50, -9.50, -9.50, -9.50, -10.60, -10.70, -9.50, -8.50, -8.50, -7.50, -8.50, -8.50, -7.50, -8.50, -6.50, -7.50, -8.50, -8.50, -8.50, -9.50, -10.70, -8.50, -7.50, -11.00, -7.50, -8.50, -8.50, -7.50, -8.50, -6.50, -7.50, -7.50, -8.70, -6.50, -7.50, -8.50, -8.50
